Time,Llandrinio,Llanymynech,Abermule,Crewgreen,Meifod,Caersws,Llanidlois
01/02/2022 06:45:00,1.395,1.505,0.679,0,0.994,1.018,1.036
01/02/2022 07:00:00,1.394,1.504,0.678,0,0.994,1.018,1.036
01/02/2022 07:15:00,1.393,1.503,0.679,0,0.993,1.018,1.036
01/02/2022 07:30:00,1.394,1.502,0.677,0,0.992,1.018,1.036
01/02/2022 07:45:00,1.394,1.501,0.678,0,0.993,1.018,1.036
01/02/2022 08:00:00,1.394,1.501,0.678,0,0.992,1.018,1.036
01/02/2022 08:15:00,1.394,1.5,0.677,0,0.993,1.018,1.036
01/02/2022 08:30:00,1.392,1.499,0.679,0,0.992,1.018,1.036
01/02/2022 08:45:00,1.393,1.498,0.677,0,0.992,1.018,1.036
01/02/2022 09:00:00,1.391,1.497,0.676,0,0.992,1.018,1.036
01/02/2022 09:15:00,1.394,1.497,0.676,0,0.991,1.018,1.037
01/02/2022 09:30:00,1.393,1.497,0.678,0,0.991,1.018,1.037
01/02/2022 09:45:00,1.394,1.496,0.677,0,0.991,1.018,1.037
01/02/2022 10:00:00,1.393,1.495,0.675,0,0.991,1.018,1.038
01/02/2022 10:15:00,1.393,1.495,0.677,0,0.991,1.018,1.038
01/02/2022 10:30:00,1.393,1.494,0.676,0,0.991,1.019,1.038
01/02/2022 10:45:00,1.392,1.494,0.677,0,0.991,1.019,1.039
01/02/2022 11:00:00,1.392,1.493,0.677,0,0.99,1.02,1.04
01/02/2022 11:15:00,1.392,1.493,0.676,0,0.99,1.021,1.04
01/02/2022 11:30:00,1.391,1.492,0.676,0,0.99,1.024,1.04
01/02/2022 11:45:00,1.39,1.491,0.677,0,0.99,1.028,1.041
01/02/2022 12:00:00,1.391,1.491,0.678,0,0.989,1.035,1.042
01/02/2022 12:15:00,1.392,1.49,0.676,0,0.989,1.042,1.042
01/02/2022 12:30:00,1.39,1.489,0.676,0,0.99,1.049,1.042
01/02/2022 12:45:00,1.39,1.489,0.676,0,0.99,1.057,1.043
01/02/2022 13:00:00,1.392,1.488,0.676,0,0.99,1.062,1.044
01/02/2022 13:15:00,1.391,1.488,0.675,0,0.99,1.068,1.045
01/02/2022 13:30:00,1.391,1.487,0.676,0,0.988,1.074,1.046
01/02/2022 13:45:00,1.39,1.487,0.674,0,0.987,1.081,1.046
01/02/2022 14:00:00,1.39,1.486,0.675,0,0.987,1.086,1.047
01/02/2022 14:15:00,1.39,1.485,0.675,0,0.99,1.092,1.048
01/02/2022 14:30:00,1.389,1.485,0.674,0,0.993,1.097,1.048
01/02/2022 14:45:00,1.388,1.485,0.675,0,0.994,1.1,1.049
01/02/2022 15:00:00,1.39,1.485,0.675,0,0.993,1.101,1.05
01/02/2022 15:15:00,1.388,1.484,0.674,0,0.995,1.104,1.05
01/02/2022 15:30:00,1.386,1.483,0.675,0,0.995,1.104,1.05
01/02/2022 15:45:00,1.39,1.483,0.675,0,0.995,1.104,1.05
01/02/2022 16:00:00,1.389,1.483,0.675,0,0.997,1.105,1.05
01/02/2022 16:15:00,1.389,1.483,0.675,0,0.998,1.105,1.05
01/02/2022 16:30:00,1.387,1.483,0.676,0,0.999,1.105,1.05
01/02/2022 16:45:00,1.388,1.483,0.675,0,1,1.105,1.05
01/02/2022 17:00:00,1.388,1.483,0.676,0,1.002,1.105,1.049
01/02/2022 17:15:00,1.388,1.483,0.677,0,1.004,1.105,1.049
01/02/2022 17:30:00,1.387,1.482,0.678,0,1.005,1.104,1.049
01/02/2022 17:45:00,1.387,1.482,0.681,0,1.006,1.104,1.049
01/02/2022 18:00:00,1.387,1.482,0.683,0,1.008,1.104,1.048
01/02/2022 18:15:00,1.386,1.481,0.686,0,1.009,1.103,1.048
01/02/2022 18:30:00,1.387,1.481,0.691,0,1.011,1.103,1.048
01/02/2022 18:45:00,1.386,1.481,0.695,0,1.012,1.103,1.048
01/02/2022 19:00:00,1.388,1.481,0.7,0,1.013,1.102,1.048
01/02/2022 19:15:00,1.387,1.481,0.705,0,1.014,1.102,1.047
01/02/2022 19:30:00,1.386,1.481,0.711,0,1.015,1.101,1.047
01/02/2022 19:45:00,1.387,1.481,0.716,0,1.017,1.1,1.047
01/02/2022 20:00:00,1.386,1.48,0.721,0,1.018,1.099,1.047
01/02/2022 20:15:00,1.387,1.48,0.724,0,1.02,1.098,1.046
01/02/2022 20:30:00,1.386,1.48,0.729,0,1.021,1.097,1.046
01/02/2022 20:45:00,1.386,1.48,0.733,0,1.022,1.097,1.046
01/02/2022 21:00:00,1.387,1.481,0.734,0,1.023,1.096,1.046
01/02/2022 21:15:00,1.385,1.481,0.738,0,1.023,1.094,1.045
01/02/2022 21:30:00,1.387,1.481,0.739,0,1.024,1.094,1.045
01/02/2022 21:45:00,1.385,1.482,0.74,0,1.024,1.093,1.045
01/02/2022 22:00:00,1.386,1.483,0.741,0,1.025,1.091,1.045
01/02/2022 22:15:00,1.386,1.483,0.741,0,1.025,1.09,1.045
01/02/2022 22:30:00,1.385,1.484,0.743,0,1.024,1.09,1.045
01/02/2022 22:45:00,1.384,1.485,0.741,0,1.024,1.089,1.045
01/02/2022 23:00:00,1.385,1.486,0.742,0,1.024,1.089,1.045
01/02/2022 23:15:00,1.384,1.487,0.742,0,1.024,1.089,1.044
01/02/2022 23:30:00,1.386,1.488,0.74,0,1.023,1.088,1.044
01/02/2022 23:45:00,1.385,1.49,0.743,0,1.023,1.088,1.044
02/02/2022 00:00:00,1.384,1.491,0.744,0,1.022,1.088,1.044
02/02/2022 00:15:00,1.385,1.492,0.742,0,1.021,1.088,1.044
02/02/2022 00:30:00,1.384,1.494,0.74,0,1.021,1.089,1.044
02/02/2022 00:45:00,1.385,1.495,0.742,0,1.021,1.089,1.044
02/02/2022 01:00:00,1.385,1.496,0.741,0,1.021,1.09,1.044
02/02/2022 01:15:00,1.385,1.497,0.738,0,1.018,1.09,1.044
02/02/2022 01:30:00,1.385,1.499,0.738,0,1.015,1.09,1.044
02/02/2022 01:45:00,1.385,1.501,0.739,0,1.013,1.091,1.044
02/02/2022 02:00:00,1.385,1.502,0.738,0,1.014,1.092,1.044
02/02/2022 02:15:00,1.386,1.503,0.738,0,1.016,1.092,1.044
02/02/2022 02:30:00,1.385,1.504,0.736,0,1.017,1.092,1.044
02/02/2022 02:45:00,1.385,1.505,0.736,0,1.017,1.092,1.044
02/02/2022 03:00:00,1.386,1.507,0.735,0,1.017,1.092,1.044
02/02/2022 03:15:00,1.385,1.508,0.734,0,1.016,1.092,1.044
02/02/2022 03:30:00,1.386,1.509,0.734,0,1.015,1.092,1.044
02/02/2022 03:45:00,1.385,1.51,0.733,0,1.015,1.093,1.044
02/02/2022 04:00:00,1.386,1.51,0.732,0,1.015,1.093,1.045
02/02/2022 04:15:00,1.389,1.511,0.731,0,1.015,1.093,1.045
02/02/2022 04:30:00,1.39,1.511,0.731,0,1.015,1.094,1.045
02/02/2022 04:45:00,1.389,1.511,0.732,0,1.014,1.094,1.045
02/02/2022 05:00:00,1.39,1.512,0.73,0,1.014,1.094,1.045
02/02/2022 05:15:00,1.391,1.512,0.73,0,1.015,1.094,1.045
02/02/2022 05:30:00,1.393,1.512,0.73,0,1.015,1.095,1.045
02/02/2022 05:45:00,1.394,1.512,0.73,0,1.014,1.095,1.045
02/02/2022 06:00:00,1.394,1.512,0.73,0,1.015,1.095,1.045
02/02/2022 06:15:00,1.394,1.511,0.73,0,1.015,1.095,1.045
02/02/2022 06:30:00,1.397,1.511,0.731,0,1.015,1.094,1.045
02/02/2022 06:45:00,1.4,1.511,0.731,0,1.015,1.094,1.045
02/02/2022 07:00:00,1.401,1.51,0.73,0,1.016,1.094,1.045
02/02/2022 07:15:00,1.403,1.509,0.731,0,1.016,1.094,1.045
02/02/2022 07:30:00,1.405,1.509,0.731,0,1.017,1.094,1.045
02/02/2022 07:45:00,1.408,1.508,0.731,0,1.018,1.094,1.046
02/02/2022 08:00:00,1.409,1.507,0.731,0,1.019,1.095,1.046
02/02/2022 08:15:00,1.41,1.507,0.731,0,1.019,1.095,1.046
02/02/2022 08:30:00,1.411,1.507,0.731,0,1.02,1.095,1.046
02/02/2022 08:45:00,1.413,1.506,0.732,0,1.021,1.095,1.046
02/02/2022 09:00:00,1.415,1.506,0.731,0,1.023,1.095,1.046
02/02/2022 09:15:00,1.417,1.505,0.731,0,1.024,1.096,1.046
02/02/2022 09:30:00,1.418,1.505,0.732,0,1.025,1.096,1.046
02/02/2022 09:45:00,1.419,1.504,0.732,0,1.026,1.096,1.046
02/02/2022 10:00:00,1.419,1.504,0.732,0,1.026,1.096,1.046
02/02/2022 10:15:00,1.421,1.504,0.734,0,1.028,1.096,1.046
02/02/2022 10:30:00,1.422,1.504,0.733,0,1.031,1.095,1.046
02/02/2022 10:45:00,1.423,1.503,0.733,0,1.033,1.095,1.046
02/02/2022 11:00:00,1.423,1.503,0.735,0,1.033,1.095,1.046
02/02/2022 11:15:00,1.424,1.502,0.735,0,1.032,1.094,1.046
02/02/2022 11:30:00,1.426,1.502,0.735,0,1.031,1.093,1.046
02/02/2022 11:45:00,1.425,1.502,0.734,0,1.03,1.093,1.046
02/02/2022 12:00:00,1.427,1.502,0.734,0,1.031,1.092,1.046
02/02/2022 12:15:00,1.426,1.502,0.734,0,1.031,1.091,1.046
02/02/2022 12:30:00,1.428,1.502,0.734,0,1.031,1.091,1.046
02/02/2022 12:45:00,1.429,1.502,0.733,0,1.031,1.09,1.046
02/02/2022 13:00:00,1.43,1.502,0.733,0,1.03,1.09,1.046
02/02/2022 13:15:00,1.429,1.503,0.735,0,1.031,1.089,1.046
02/02/2022 13:30:00,1.428,1.503,0.733,0,1.031,1.089,1.046
02/02/2022 13:45:00,1.429,1.503,0.734,0,1.031,1.089,1.046
02/02/2022 14:00:00,1.43,1.503,0.734,0,1.031,1.089,1.046
02/02/2022 14:15:00,1.429,1.504,0.733,0,1.031,1.089,1.046
02/02/2022 14:30:00,1.429,1.505,0.734,0,1.031,1.089,1.047
02/02/2022 14:45:00,1.429,1.506,0.734,0,1.031,1.089,1.048
02/02/2022 15:00:00,1.429,1.507,0.734,0,1.031,1.089,1.048
02/02/2022 15:15:00,1.429,1.507,0.734,0,1.03,1.089,1.048
02/02/2022 15:30:00,1.429,1.509,0.735,0,1.03,1.088,1.048
02/02/2022 15:45:00,1.43,1.51,0.735,0,1.031,1.088,1.048
02/02/2022 16:00:00,1.429,1.511,0.734,0,1.03,1.087,1.048
02/02/2022 16:15:00,1.43,1.512,0.735,0,1.029,1.087,1.048
02/02/2022 16:30:00,1.43,1.514,0.734,0,1.029,1.087,1.048
02/02/2022 16:45:00,1.429,1.515,0.734,0,1.029,1.087,1.048
02/02/2022 17:00:00,1.43,1.515,0.734,0,1.029,1.086,1.047
02/02/2022 17:15:00,1.428,1.517,0.734,0,1.028,1.086,1.047
02/02/2022 17:30:00,1.43,1.517,0.732,0,1.028,1.085,1.046
02/02/2022 17:45:00,1.429,1.518,0.733,0,1.028,1.084,1.046
02/02/2022 18:00:00,1.431,1.518,0.731,0,1.028,1.083,1.046
02/02/2022 18:15:00,1.431,1.519,0.731,0,1.028,1.083,1.046
02/02/2022 18:30:00,1.432,1.519,0.731,0,1.028,1.082,1.046
02/02/2022 18:45:00,1.43,1.519,0.732,0,1.027,1.082,1.046
02/02/2022 19:00:00,1.431,1.519,0.731,0,1.027,1.081,1.046
02/02/2022 19:15:00,1.432,1.519,0.731,0,1.028,1.081,1.045
02/02/2022 19:30:00,1.432,1.52,0.73,0,1.027,1.08,1.045
02/02/2022 19:45:00,1.431,1.52,0.731,0,1.029,1.079,1.045
02/02/2022 20:00:00,1.431,1.52,0.73,0,1.029,1.079,1.045
02/02/2022 20:15:00,1.432,1.52,0.731,0,1.029,1.079,1.045
02/02/2022 20:30:00,1.434,1.52,0.729,0,1.03,1.078,1.045
02/02/2022 20:45:00,1.433,1.52,0.73,0,1.03,1.077,1.044
02/02/2022 21:00:00,1.433,1.519,0.729,0,1.03,1.076,1.044
02/02/2022 21:15:00,1.432,1.52,0.73,0,1.03,1.076,1.044
02/02/2022 21:30:00,1.432,1.519,0.73,0,1.03,1.075,1.044
02/02/2022 21:45:00,1.433,1.519,0.728,0,1.031,1.073,1.044
02/02/2022 22:00:00,1.433,1.519,0.727,0,1.031,1.073,1.044
02/02/2022 22:15:00,1.434,1.519,0.726,0,1.03,1.072,1.044
02/02/2022 22:30:00,1.433,1.519,0.726,0,1.031,1.071,1.043
02/02/2022 22:45:00,1.434,1.519,0.727,0,1.03,1.07,1.043
02/02/2022 23:00:00,1.435,1.519,0.726,0,1.03,1.069,1.043
02/02/2022 23:15:00,1.433,1.519,0.727,0,1.029,1.068,1.043
02/02/2022 23:30:00,1.435,1.518,0.726,0,1.029,1.068,1.043
02/02/2022 23:45:00,1.436,1.518,0.725,0,1.029,1.067,1.043
03/02/2022 00:00:00,1.434,1.518,0.724,0,1.028,1.066,1.043
03/02/2022 00:15:00,1.434,1.518,0.724,0,1.029,1.065,1.042
03/02/2022 00:30:00,1.436,1.518,0.725,0,1.028,1.065,1.042
03/02/2022 00:45:00,1.434,1.518,0.724,0,1.027,1.064,1.042
03/02/2022 01:00:00,1.436,1.518,0.723,0,1.027,1.063,1.042
03/02/2022 01:15:00,1.435,1.518,0.724,0,1.025,1.062,1.042
03/02/2022 01:30:00,1.436,1.518,0.723,0,1.025,1.062,1.042
03/02/2022 01:45:00,1.437,1.518,0.722,0,1.024,1.061,1.042
03/02/2022 02:00:00,1.434,1.518,0.721,0,1.023,1.06,1.042
03/02/2022 02:15:00,1.437,1.518,0.721,0,1.022,1.059,1.042
03/02/2022 02:30:00,1.437,1.518,0.721,0,1.021,1.059,1.042
03/02/2022 02:45:00,1.436,1.518,0.72,0,1.02,1.058,1.041
03/02/2022 03:00:00,1.438,1.518,0.719,0,1.019,1.058,1.041
03/02/2022 03:15:00,1.437,1.518,0.719,0,1.017,1.057,1.041
03/02/2022 03:30:00,1.436,1.518,0.718,0,1.016,1.056,1.041
03/02/2022 03:45:00,1.438,1.518,0.718,0,1.015,1.056,1.041
03/02/2022 04:00:00,1.435,1.518,0.716,0,1.014,1.055,1.041
03/02/2022 04:15:00,1.436,1.518,0.716,0,1.014,1.054,1.041
03/02/2022 04:30:00,1.438,1.518,0.716,0,1.014,1.054,1.041
03/02/2022 04:45:00,1.436,1.518,0.714,0,1.015,1.053,1.041
03/02/2022 05:00:00,1.437,1.518,0.714,0,1.016,1.052,1.041
03/02/2022 05:15:00,1.436,1.518,0.713,0,1.015,1.052,1.041
03/02/2022 05:30:00,1.434,1.518,0.712,0,1.013,1.051,1.041
03/02/2022 05:45:00,1.435,1.518,0.712,0,1.011,1.051,1.041
03/02/2022 06:00:00,1.436,1.518,0.713,0,1.009,1.05,1.041
03/02/2022 06:15:00,1.435,1.518,0.712,0,1.006,1.05,1.041
03/02/2022 06:30:00,1.434,1.518,0.71,0,1.003,1.049,1.041
03/02/2022 06:45:00,1.437,1.518,0.71,0,1.001,1.049,1.041
03/02/2022 07:00:00,1.435,1.517,0.708,0,1,1.049,1.041
03/02/2022 07:15:00,1.434,1.516,0.709,0,0.999,1.048,1.041
03/02/2022 07:30:00,1.434,1.516,0.709,0,0.999,1.048,1.041
03/02/2022 07:45:00,1.435,1.515,0.709,0,0.999,1.047,1.041
03/02/2022 08:00:00,1.435,1.514,0.708,0,1,1.046,1.041
03/02/2022 08:15:00,1.434,1.513,0.707,0,0.999,1.046,1.041
03/02/2022 08:30:00,1.434,1.511,0.707,0,1,1.046,1.041
03/02/2022 08:45:00,1.433,1.511,0.707,0,0.999,1.045,1.041
03/02/2022 09:00:00,1.433,1.509,0.706,0,0.999,1.045,1.041
03/02/2022 09:15:00,1.433,1.509,0.705,0,0.999,1.044,1.041
03/02/2022 09:30:00,1.434,1.507,0.705,0,0.999,1.044,1.041
03/02/2022 09:45:00,1.433,1.506,0.704,0,0.999,1.044,1.042
03/02/2022 10:00:00,1.432,1.505,0.705,0,0.998,1.044,1.042
03/02/2022 10:15:00,1.431,1.505,0.703,0,0.997,1.044,1.042
03/02/2022 10:30:00,1.432,1.503,0.703,0,0.997,1.044,1.042
03/02/2022 10:45:00,1.433,1.502,0.702,0,0.997,1.043,1.042
03/02/2022 11:00:00,1.431,1.502,0.701,0,0.997,1.043,1.042
03/02/2022 11:15:00,1.432,1.501,0.702,0,0.996,1.043,1.042
03/02/2022 11:30:00,1.429,1.5,0.7,0,0.995,1.043,1.042
03/02/2022 11:45:00,1.431,1.499,0.701,0,0.995,1.043,1.042
03/02/2022 12:00:00,1.429,1.497,0.7,0,0.995,1.043,1.042
03/02/2022 12:15:00,1.43,1.495,0.699,0,0.994,1.043,1.042
03/02/2022 12:30:00,1.429,1.494,0.699,0,0.994,1.043,1.043
03/02/2022 12:45:00,1.427,1.493,0.7,0,0.993,1.043,1.043
03/02/2022 13:00:00,1.427,1.492,0.699,0,0.993,1.043,1.043
03/02/2022 13:15:00,1.428,1.491,0.698,0,0.991,1.043,1.043
03/02/2022 13:30:00,1.429,1.489,0.698,0,0.991,1.043,1.043
03/02/2022 13:45:00,1.427,1.488,0.698,0,0.991,1.043,1.043
03/02/2022 14:00:00,1.427,1.487,0.697,0,0.99,1.043,1.043
03/02/2022 14:15:00,1.426,1.486,0.698,0,0.99,1.043,1.043
03/02/2022 14:30:00,1.425,1.485,0.697,0,0.991,1.043,1.043
03/02/2022 14:45:00,1.425,1.485,0.697,0,0.991,1.043,1.043
03/02/2022 15:00:00,1.425,1.484,0.696,0,0.992,1.043,1.043
03/02/2022 15:15:00,1.423,1.483,0.695,0,0.991,1.043,1.043
03/02/2022 15:30:00,1.425,1.483,0.695,0,0.991,1.043,1.042
03/02/2022 15:45:00,1.421,1.483,0.695,0,0.991,1.043,1.042
03/02/2022 16:00:00,1.423,1.483,0.696,0,0.991,1.043,1.042
03/02/2022 16:15:00,1.423,1.481,0.695,0,0.992,1.042,1.042
03/02/2022 16:30:00,1.421,1.481,0.695,0,0.991,1.042,1.042
03/02/2022 16:45:00,1.421,1.48,0.696,0,0.992,1.042,1.042
03/02/2022 17:00:00,1.42,1.48,0.694,0,0.992,1.042,1.042
03/02/2022 17:15:00,1.42,1.479,0.695,0,0.992,1.042,1.041
03/02/2022 17:30:00,1.419,1.479,0.694,0,0.992,1.042,1.041
03/02/2022 17:45:00,1.419,1.479,0.694,0,0.993,1.042,1.041
03/02/2022 18:00:00,1.418,1.478,0.694,0,0.993,1.042,1.041
03/02/2022 18:15:00,1.422,1.478,0.694,0,0.993,1.042,1.041
03/02/2022 18:30:00,1.418,1.477,0.693,0,0.993,1.041,1.04
03/02/2022 18:45:00,1.417,1.477,0.693,0,0.993,1.041,1.04
03/02/2022 19:00:00,1.417,1.477,0.693,0,0.994,1.042,1.04
03/02/2022 19:15:00,1.416,1.476,0.694,0,0.994,1.042,1.04
03/02/2022 19:30:00,1.417,1.475,0.694,0,0.995,1.041,1.04
03/02/2022 19:45:00,1.416,1.475,0.694,0,0.995,1.041,1.04
03/02/2022 20:00:00,1.417,1.475,0.693,0,0.993,1.041,1.04
03/02/2022 20:15:00,1.415,1.474,0.694,0,0.991,1.041,1.04
03/02/2022 20:30:00,1.414,1.473,0.694,0,0.988,1.04,1.04
03/02/2022 20:45:00,1.414,1.473,0.693,0,0.984,1.04,1.04
03/02/2022 21:00:00,1.413,1.472,0.694,0,0.981,1.04,1.039
03/02/2022 21:15:00,1.415,1.472,0.695,0,0.979,1.039,1.039
03/02/2022 21:30:00,1.412,1.472,0.693,0,0.979,1.039,1.039
03/02/2022 21:45:00,1.413,1.472,0.693,0,0.982,1.038,1.039
03/02/2022 22:00:00,1.412,1.472,0.691,0,0.986,1.038,1.039
03/02/2022 22:15:00,1.411,1.472,0.692,0,0.989,1.037,1.039
03/02/2022 22:30:00,1.41,1.472,0.692,0,0.99,1.036,1.039
03/02/2022 22:45:00,1.411,1.472,0.693,0,0.991,1.036,1.039
03/02/2022 23:00:00,1.41,1.472,0.692,0,0.991,1.035,1.038
03/02/2022 23:15:00,1.411,1.472,0.693,0,0.991,1.035,1.038
03/02/2022 23:30:00,1.41,1.472,0.692,0,0.991,1.035,1.038
03/02/2022 23:45:00,1.411,1.472,0.692,0,0.991,1.034,1.038
04/02/2022 00:00:00,1.41,1.472,0.692,0,0.991,1.034,1.038
04/02/2022 00:15:00,1.409,1.472,0.692,0,0.991,1.033,1.038
04/02/2022 00:30:00,1.409,1.473,0.691,0,0.991,1.033,1.038
04/02/2022 00:45:00,1.41,1.473,0.691,0,0.991,1.034,1.038
04/02/2022 01:00:00,1.408,1.473,0.693,0,0.991,1.034,1.039
04/02/2022 01:15:00,1.407,1.475,0.692,0,0.991,1.034,1.04
04/02/2022 01:30:00,1.409,1.475,0.693,0,0.991,1.035,1.04
04/02/2022 01:45:00,1.408,1.475,0.693,0,0.992,1.037,1.041
04/02/2022 02:00:00,1.408,1.475,0.694,0,0.991,1.038,1.042
04/02/2022 02:15:00,1.407,1.475,0.694,0,0.992,1.038,1.043
04/02/2022 02:30:00,1.408,1.475,0.695,0,0.992,1.038,1.044
04/02/2022 02:45:00,1.408,1.475,0.695,0,0.992,1.038,1.045
04/02/2022 03:00:00,1.409,1.475,0.695,0,0.992,1.039,1.046
04/02/2022 03:15:00,1.407,1.474,0.696,0,0.993,1.04,1.048
04/02/2022 03:30:00,1.408,1.474,0.699,0,0.993,1.041,1.05
04/02/2022 03:45:00,1.408,1.474,0.702,0,0.993,1.042,1.053
04/02/2022 04:00:00,1.408,1.475,0.705,0,0.994,1.044,1.056
04/02/2022 04:15:00,1.408,1.475,0.708,0,0.995,1.046,1.061
04/02/2022 04:30:00,1.409,1.475,0.712,0,0.996,1.047,1.066
04/02/2022 04:45:00,1.408,1.477,0.715,0,0.996,1.049,1.07
04/02/2022 05:00:00,1.409,1.477,0.716,0,0.998,1.051,1.073
04/02/2022 05:15:00,1.409,1.479,0.717,0,0.998,1.054,1.076
04/02/2022 05:30:00,1.41,1.48,0.714,0,0.998,1.058,1.078
04/02/2022 05:45:00,1.409,1.48,0.716,0,0.999,1.062,1.081
04/02/2022 06:00:00,1.411,1.481,0.716,0,0.999,1.069,1.085
04/02/2022 06:15:00,1.413,1.483,0.717,0,1.002,1.079,1.088
04/02/2022 06:30:00,1.412,1.483,0.718,0,1.003,1.095,1.092
04/02/2022 06:45:00,1.413,1.484,0.722,0,1.005,1.11,1.096
04/02/2022 07:00:00,1.415,1.485,0.722,0,1.007,1.12,1.099
04/02/2022 07:15:00,1.415,1.486,0.724,0,1.01,1.128,1.102
04/02/2022 07:30:00,1.417,1.487,0.725,0,1.014,1.142,1.105
04/02/2022 07:45:00,1.417,1.488,0.728,0,1.017,1.149,1.109
04/02/2022 08:00:00,1.418,1.489,0.732,0,1.022,1.162,1.112
04/02/2022 08:15:00,1.419,1.49,0.737,0,1.026,1.173,1.116
04/02/2022 08:30:00,1.419,1.491,0.742,0,1.029,1.177,1.118
04/02/2022 08:45:00,1.421,1.493,0.749,0,1.041,1.187,1.121
04/02/2022 09:00:00,1.424,1.495,0.758,0,1.088,1.194,1.123
04/02/2022 09:15:00,1.422,1.497,0.763,0,1.167,1.201,1.124
04/02/2022 09:30:00,1.424,1.499,0.771,0,1.231,1.205,1.125
04/02/2022 09:45:00,1.424,1.502,0.775,0,1.269,1.208,1.125
04/02/2022 10:00:00,1.425,1.503,0.779,0,1.295,1.209,1.125
04/02/2022 10:15:00,1.427,1.506,0.783,0,1.312,1.244,1.125
04/02/2022 10:30:00,1.426,1.508,0.787,0,1.326,1.247,1.124
04/02/2022 10:45:00,1.427,1.51,0.79,0,1.333,1.248,1.123
04/02/2022 11:00:00,1.43,1.512,0.795,0,1.335,1.251,1.122
04/02/2022 11:15:00,1.428,1.514,0.8,0,1.336,1.252,1.12
04/02/2022 11:30:00,1.431,1.518,0.805,0,1.337,1.252,1.119
04/02/2022 11:45:00,1.431,1.522,0.815,0,1.334,1.242,1.118
04/02/2022 12:00:00,1.43,1.525,0.826,0,1.329,1.242,1.116
04/02/2022 12:15:00,1.431,1.529,0.838,0,1.323,1.241,1.114
04/02/2022 12:30:00,1.43,1.536,0.852,0,1.318,1.241,1.114
04/02/2022 12:45:00,1.432,1.541,0.869,0,1.312,1.24,1.114
04/02/2022 13:00:00,1.433,1.547,0.881,0,1.308,1.239,1.113
04/02/2022 13:15:00,1.43,1.556,0.896,0,1.301,1.239,1.111
04/02/2022 13:30:00,1.433,1.567,0.904,0,1.295,1.238,1.11
04/02/2022 13:45:00,1.435,1.587,0.913,0,1.289,1.237,1.11
04/02/2022 14:00:00,1.433,1.615,0.919,0,1.283,1.236,1.109
04/02/2022 14:15:00,1.435,1.655,0.926,0,1.276,1.236,1.109
04/02/2022 14:30:00,1.436,1.703,0.93,0,1.274,1.236,1.108
04/02/2022 14:45:00,1.435,1.753,0.929,0,1.267,1.235,1.107
04/02/2022 15:00:00,1.437,1.798,0.935,0,1.263,1.235,1.107
04/02/2022 15:15:00,1.438,1.837,0.934,0,1.256,1.235,1.106
04/02/2022 15:30:00,1.441,1.867,0.934,0,1.25,1.236,1.106
04/02/2022 15:45:00,1.438,1.889,0.934,0,1.245,1.236,1.105
04/02/2022 16:00:00,1.44,1.905,0.935,0,1.241,1.236,1.104
04/02/2022 16:15:00,1.443,1.916,0.935,0,1.237,1.236,1.104
04/02/2022 16:30:00,1.444,1.922,0.931,0,1.232,1.236,1.103
04/02/2022 16:45:00,1.445,1.926,0.933,0,1.228,1.236,1.102
